index,sender_name,dateTime,timeElapsed,answerTime_s,answerTime_m
1204,Klara,2020-09-27T09:25:59Z,49401442.964999914,2164.832999944687,36.080549999078116
1205,Jonathan,2020-09-27T08:49:54Z,49399278.13199997,37710.92899990082,628.5154833316803
1206,Klara,2020-09-26T22:21:23Z,49361567.20300007,3595.2200000286102,59.92033333381017
1207,Jonathan,2020-09-26T21:21:28Z,49357971.98300004,4008.7699999809265,66.81283333301545
1208,Klara,2020-09-26T20:14:39Z,49353963.21300006,895.7420001029968,14.929033335049947
1209,Jonathan,2020-09-26T19:59:43Z,49353067.470999956,6427.2119998931885,107.1201999982198
1210,Klara,2020-09-26T18:12:36Z,49346640.25900006,9218.634999990463,153.64391666650772
1211,Jonathan,2020-09-26T15:38:57Z,49337421.62400007,5292.101000070572,88.20168333450953
1212,Klara,2020-09-26T14:10:45Z,49332129.523,647.5699999332428,10.792833332220713
1213,Jonathan,2020-09-26T13:59:58Z,49331481.95300007,NA,NA
1214,Jonathan,2020-09-26T13:59:32Z,49331456.23699999,856.9379999637604,14.282299999396006
1215,Klara,2020-09-26T13:45:15Z,49330599.299000025,NA,NA
1216,Klara,2020-09-26T13:44:51Z,49330575.312999964,1071.5120000839233,17.858533334732055
1217,Jonathan,2020-09-26T13:27:00Z,49329503.80099988,4233.882999897003,70.56471666495005
1218,Klara,2020-09-26T12:16:26Z,49325269.91799998,597.5950000286102,9.959916667143505
1219,Jonathan,2020-09-26T12:06:28Z,49324672.322999954,NA,NA
1220,Jonathan,2020-09-26T12:06:17Z,49324661.5539999,29277.412999868393,487.95688333113986
1221,Klara,2020-09-26T03:58:20Z,49295384.14100003,19495.37600016594,324.922933336099
1222,Jonathan,2020-09-25T22:33:25Z,49275888.76499987,14956.862999916077,249.28104999860128
1223,Klara,2020-09-25T18:24:08Z,49260931.90199995,300.635999917984,5.010599998633067
1224,Jonathan,2020-09-25T18:19:07Z,49260631.26600003,161.40300011634827,2.6900500019391376
1225,Klara,2020-09-25T18:16:26Z,49260469.862999916,199.42899990081787,3.323816665013631
1226,Jonathan,2020-09-25T18:13:06Z,49260270.434000015,220.5199999809265,3.675333333015442
1227,Klara,2020-09-25T18:09:26Z,49260049.914000034,89.50999999046326,1.4918333331743876
1228,Jonathan,2020-09-25T18:07:56Z,49259960.404000044,1403.3100001811981,23.388500003019967
1229,Klara,2020-09-25T17:44:33Z,49258557.09399986,NA,NA
1230,Klara,2020-09-25T17:44:20Z,49258543.70300007,284.10000014305115,4.735000002384186
1231,Jonathan,2020-09-25T17:39:35Z,49258259.602999926,332.664999961853,5.544416666030884
1232,Klara,2020-09-25T17:34:03Z,49257926.937999964,NA,NA
1233,Klara,2020-09-25T17:33:40Z,49257904.210999966,308.26200008392334,5.137700001398723
1234,Jonathan,2020-09-25T17:28:32Z,49257595.94899988,50.77899980545044,0.846316663424174
1235,Klara,2020-09-25T17:27:41Z,49257545.17000008,NA,NA
1236,Klara,2020-09-25T17:24:05Z,49257328.92199993,NA,NA
1237,Klara,2020-09-25T17:23:05Z,49257269.589999914,163.20899987220764,2.7201499978701276
1238,Jonathan,2020-09-25T17:20:22Z,49257106.38100004,40.39100003242493,0.6731833338737487
1239,Klara,2020-09-25T17:19:42Z,49257065.99000001,1644.4670000076294,27.40778333346049
1240,Jonathan,2020-09-25T16:52:17Z,49255421.523,NA,NA
1241,Jonathan,2020-09-25T16:51:57Z,49255401.26900005,NA,NA
1242,Jonathan,2020-09-25T16:50:49Z,49255333.129999876,73794.53399991989,1229.9088999986648
1243,Klara,2020-09-24T20:20:54Z,49181538.595999956,1348.9879999160767,22.48313333193461
1244,Jonathan,2020-09-24T19:58:25Z,49180189.60800004,2513.0390000343323,41.88398333390554
1245,Klara,2020-09-24T19:16:32Z,49177676.569000006,NA,NA
1246,Klara,2020-09-24T19:16:14Z,49177658.07099986,1283.6029999256134,21.393383332093556
1247,Jonathan,2020-09-24T18:54:50Z,49176374.467999935,4807.203000068665,80.1200500011444
